TEAM_ID,TEAM_NAME,SEASON,RA_FGM,RA_FGA,PT_FGM,PT_FGA,MR_FGM,MR_FGA,AB_FGM,AB_FGA,CN_FGM,CN_FGA
1610612762,Utah Jazz,2020,1213,1857,483,1194,228,544,672,1811,289,704
1610612764,Washington Wizards,2020,1288,2004,355,982,483,1215,699,1905,164,420
1610612737,Atlanta Hawks,2021,1164,1850,557,1286,321,745,685,1859,210,533
1610612738,Boston Celtics,2021,1157,1739,508,1202,341,841,771,2072,208,531
1610612751,Brooklyn Nets,2021,1274,1934,497,1075,315,681,779,2001,241,589
1610612766,Charlotte Hornets,2021,1252,2078,402,961,236,619,728,2033,257,622
1610612741,Chicago Bulls,2021,1296,2003,482,1089,353,844,653,1840,250,592
1610612739,Cleveland Cavaliers,2021,1304,2153,532,1282,223,599,538,1645,181,492
1610612742,Dallas Mavericks,2021,1121,1649,469,1043,374,851,772,2138,221,592
1610612743,Denver Nuggets,2021,1226,1817,562,1219,399,924,686,1883,241,563
1610612765,Detroit Pistons,2021,1282,2026,425,1123,245,646,633,1789,198,573
1610612744,Golden State Warriors,2021,1222,1824,413,979,293,763,794,2145,250,620
1610612745,Houston Rockets,2021,1387,2157,295,799,152,494,739,2202,252,711
1610612754,Indiana Pacers,2021,1482,2376,461,1078,283,668,667,1902,222,537
1610612746,LA Clippers,2021,1065,1632,454,1060,464,1056,684,1749,342,733
1610612747,Los Angeles Lakers,2021,1391,2074,407,982,333,895,581,1652,213,585
1610612763,Memphis Grizzlies,2021,1218,1916,791,1802,274,633,569,1642,233,611
1610612748,Miami Heat,2021,1219,1782,379,911,294,730,698,1930,234,662
1610612749,Milwaukee Bucks,2021,1305,1932,451,1018,427,993,798,2070,240,588
1610612750,Minnesota Timberwolves,2021,1382,2244,393,988,220,619,718,2087,219,600
1610612740,New Orleans Pelicans,2021,1547,2441,412,1010,340,771,562,1621,196,552
1610612752,New York Knicks,2021,1106,1849,477,1192,411,1025,570,1512,275,642
1610612760,Oklahoma City Thunder,2021,1247,2083,471,1168,223,565,662,1990,191,516
1610612753,Orlando Magic,2021,985,1616,512,1350,473,1173,652,1903,132,371
1610612755,Philadelphia 76ers,2021,1138,1802,565,1256,466,1029,564,1564,248,598
1610612756,Phoenix Suns,2021,1054,1560,578,1156,546,1152,638,1786,302,692
1610612757,Portland Trail Blazers,2021,1126,1851,290,785,426,987,931,2416,200,509
1610612758,Sacramento Kings,2021,1265,1882,654,1430,274,671,643,1843,231,544
1610612759,San Antonio Spurs,2021,1182,1880,539,1288,577,1304,555,1605,161,436
1610612761,Toronto Raptors,2021,1181,1893,390,1012,249,649,784,2149,255,669
